x,y,z,w
1.303299076875123839e-04,4.568577076197224951e-04,1.435376346902680336e-03,9.999988569942932504e-01
1.303299076875123839e-04,4.568577076197224951e-04,1.435376346902680336e-03,9.999988569942932504e-01
6.499037799573880781e-05,5.220099312060631422e-04,1.435418909437434802e-03,9.999988314265357836e-01
-3.491522493673236514e-07,5.871621503479751859e-04,1.435461459750933576e-03,9.999987973447193035e-01
6.497332971627804612e-05,5.872643617697487000e-04,1.565914883623316075e-03,9.999985994038258497e-01
6.487115996861364184e-05,6.525102224358038513e-04,1.565919119537075585e-03,9.999985589586884993e-01
6.497332971627804612e-05,5.872643617697487000e-04,1.565914883623316075e-03,9.999985994038258497e-01
6.487115996861364184e-05,6.525102224358038513e-04,1.565919119537075585e-03,9.999985589586884993e-01
6.487115996861364184e-05,6.525102224358038513e-04,1.565919119537075585e-03,9.999985589586884993e-01
6.487115996861364184e-05,6.525102224358038513e-04,1.565919119537075585e-03,9.999985589586884993e-01
6.487115996861364184e-05,6.525102224358038513e-04,1.565919119537075585e-03,9.999985589586884993e-01
-3.746994466416578339e-07,6.524080511611808067e-04,1.565961689855490269e-03,9.999985610627549759e-01
-3.746994466416578339e-07,6.524080511611808067e-04,1.565961689855490269e-03,9.999985610627549759e-01
-6.572272860637113755e-05,7.175517349979658932e-04,1.566008482754959082e-03,9.999985142076276423e-01
-5.236827884536817423e-07,7.176453624892688982e-04,1.500715802802825641e-03,9.999986164175123093e-01
-5.236827884536817423e-07,7.176453624892688982e-04,1.500715802802825641e-03,9.999986164175123093e-01
-5.236827884536817423e-07,7.176453624892688982e-04,1.500715802802825641e-03,9.999986164175123093e-01
-1.963081129487614191e-04,7.173643372341422615e-04,1.435610379443227414e-03,9.999986929363312571e-01
-1.962144447631431463e-04,6.521184676885450433e-04,1.435623184697475867e-03,9.999987376129370054e-01
-1.962144447631431463e-04,6.521184676885450433e-04,1.435623184697475867e-03,9.999987376129370054e-01
-1.961675804448324378e-04,5.868597858077188216e-04,1.370390112765775860e-03,9.999988695717666465e-01
-1.309599845974936149e-04,5.869321395481705153e-04,1.305105938136428114e-03,9.999989675287851432e-01
-6.575238763515249573e-05,5.870044882914415884e-04,1.239821752395318683e-03,9.999990569717437383e-01
-6.575238763515249573e-05,5.870044882914415884e-04,1.239821752395318683e-03,9.999990569717437383e-01
-6.579068716262693561e-05,5.870001969647794041e-04,1.174575857985824283e-03,9.999991357365806133e-01
-6.582898641002816965e-05,5.869959031392372106e-04,1.109329958576120000e-03,9.999992102443868713e-01
-6.213788824825051621e-07,5.870597278248683177e-04,1.044045753394643502e-03,9.999992826642201127e-01
-6.213788824825051621e-07,5.870597278248683177e-04,1.044045753394643502e-03,9.999992826642201127e-01
6.458622865035360959e-05,5.871235475122324335e-04,9.787615393240898121e-04,9.999993465699905659e-01
6.447130510706412516e-05,5.871361782350123992e-04,7.830237896884308449e-04,9.999995189940362739e-01
6.443299671017040748e-05,5.871403834770451413e-04,7.177778661061539819e-04,9.999995679546538341e-01
6.439468803898318956e-05,5.871445862196009126e-04,6.525319394682717626e-04,9.999996126582385569e-01
6.435637909366557607e-05,5.871487864626620404e-04,5.872860100525386772e-04,9.999996531047905535e-01
6.435213074003698418e-05,5.219070499294443163e-04,5.220358805317544017e-04,9.999997254751494813e-01
1.295640156142560174e-04,5.219410501191318764e-04,4.567558904637692764e-04,9.999997510823503966e-01
1.295299607970957188e-04,5.219495025358834167e-04,3.915099524331357855e-04,9.999997787553072115e-01
1.295555049614616173e-04,4.567035625609358043e-04,3.915015002940270628e-04,9.999998106818832611e-01
1.294959077399150335e-04,4.567204646173469605e-04,2.610096153444124495e-04,9.999998532555931519e-01
1.294788808139446046e-04,3.914829670599420707e-04,1.957552235076952469e-04,9.999998958280938988e-01
1.294533378589603136e-04,3.914914141996746091e-04,1.305092765885321410e-04,9.999999064718130271e-01
1.294277943528886893e-04,3.914998596728147735e-04,6.526332911378658608e-05,9.999999128584982078e-01
1.294022502958385042e-04,3.915083034793265140e-04,1.738136121278788596e-08,9.999999149881493299e-01
1.294022511544670750e-04,3.262623548933835755e-04,8.938387996166040989e-09,9.999999384039648387e-01
1.946056239056978955e-04,3.262707238824001264e-04,-1.305042480173155975e-04,9.999999193223503280e-01
1.945843356470631277e-04,3.262834204173763880e-04,-1.957501957749349067e-04,9.999999086789592706e-01
1.945630465600761076e-04,3.262961155633528946e-04,-2.609961426992389198e-04,9.999998937785341546e-01
1.945417566448275017e-04,3.263088093202755986e-04,-3.262420885124733632e-04,9.999998746210749800e-01
1.945204702546706539e-04,2.610628635068991247e-04,-3.262547808804302477e-04,9.999998937828873391e-01
1.945034365452299823e-04,2.610755546247403298e-04,-3.915007265550446728e-04,9.999998703675663236e-01
1.944353083228400690e-04,1.958549920178622231e-04,-5.220052998547666410e-04,9.999998256730846524e-01
1.943842129824632640e-04,1.306217377370278072e-04,-5.872639247021175894e-04,9.999998001368912703e-01
2.595918362366540755e-04,6.533747963878848604e-05,-5.872808704915810814e-04,9.999997917221139510e-01
2.595449973917232016e-04,1.084796063836936591e-07,-6.525437446012739796e-04,9.999997534114917208e-01
3.247483575202082915e-04,-6.518003440907610250e-05,-6.525564261285986527e-04,9.999997322300532288e-01
3.247483575202082915e-04,-6.518003440907610250e-05,-6.525564261285986527e-04,9.999997322300532288e-01
3.247483575202082915e-04,-6.518003440907610250e-05,-6.525564261285986527e-04,9.999997322300532288e-01
3.247057751719197114e-04,-1.304047785270310981e-04,-7.178235478337483379e-04,9.999996811450030387e-01
3.247057751719196572e-04,-1.304047785270310710e-04,-7.178235478337482295e-04,9.999996811450028167e-01
3.246589393990987867e-04,-1.956507107447540790e-04,-7.178447320436914325e-04,9.999996705081023451e-01
3.246589393990987867e-04,-1.956507107447540790e-04,-7.178447320436914325e-04,9.999996705081023451e-01
3.246121022441935820e-04,-2.608966421295852260e-04,-7.178659131977447845e-04,9.999996556141685922e-01
3.245780284336970286e-04,-3.261213890275721093e-04,-7.831330215690604328e-04,9.999995874982218202e-01
3.245780284336970286e-04,-3.261213890275721093e-04,-7.831330215690604328e-04,9.999995874982218202e-01
3.898239541280453684e-04,-3.261724845939695055e-04,-7.831117418012298889e-04,9.999995641923026257e-01
3.897728584261646594e-04,-3.914184087643071100e-04,-7.831371745698690245e-04,9.999995407823515370e-01
3.897728584261646594e-04,-3.914184087643071100e-04,-7.831371745698690245e-04,9.999995407823515370e-01
3.897728584261646594e-04,-3.914184087643071100e-04,-7.831371745698690245e-04,9.999995407823515370e-01
3.897728584261646594e-04,-3.914184087643071100e-04,-7.831371745698690245e-04,9.999995407823515370e-01
3.897728584261646594e-04,-3.914184087643071100e-04,-7.831371745698690245e-04,9.999995407823515370e-01
3.897217781732830724e-04,-3.914692676350720654e-04,-6.526453215055458019e-04,9.999996344613495403e-01
3.897643598099215126e-04,-3.262233373524506589e-04,-6.526198923474406301e-04,9.999996578746186415e-01
3.897558528974769121e-04,-2.610282589968743031e-04,-5.221025962338854886e-04,9.999997536817208932e-01
3.897558528974769121e-04,-2.610282589968743031e-04,-5.221025962338854886e-04,9.999997536817208932e-01
3.897558528974769121e-04,-2.610282589968743031e-04,-5.221025962338854886e-04,9.999997536817208932e-01
3.897558528974769121e-04,-2.610282589968743031e-04,-5.221025962338854886e-04,9.999997536817208932e-01
4.549847595124634127e-04,-2.610834959259555822e-04,-4.568396242253705661e-04,9.999997580608880332e-01
