x,y,z,w
-1.749841542577442594e-02,-1.023666672109544568e-02,-4.668720694300630344e-03,9.997835861620780751e-01
-1.807307284186829982e-02,-1.048540429975529029e-02,-4.725152412755003611e-03,9.997705203042338562e-01
-1.888539823079268820e-02,-1.077731434423274959e-02,-4.780756268906542587e-03,9.997521370813301500e-01
-1.969770948373695402e-02,-1.106921632174230792e-02,-4.836356546596310736e-03,9.997330055302118268e-01
-2.077885852276682363e-02,-1.137801029833479874e-02,-4.892057704066494345e-03,9.997073810328508392e-01
-2.185998121428308141e-02,-1.168678984765348337e-02,-4.947752658426106745e-03,9.996804889103310110e-01
-2.315251960423322583e-02,-1.201270637980494937e-02,-5.002992182817700591e-03,9.996472506792715151e-01
-2.444501675877588931e-02,-1.233860151692680283e-02,-5.058222796713814952e-03,9.996122320432097030e-01
-2.600072693602412457e-02,-1.266882205382267347e-02,-5.137534471215926546e-03,9.995684413216151532e-01
-2.755637113674685307e-02,-1.299901044373805853e-02,-5.216833109287366196e-03,9.995221142073679177e-01
-2.937785688496168460e-02,-1.329905976958539217e-02,-5.300405437493836518e-03,9.994658484592103820e-01
-3.119924221995259983e-02,-1.359906363937812834e-02,-5.383959648967009265e-03,9.994061665466802413e-01
-3.320805658537091809e-02,-1.383255396528573246e-02,-5.464186360366463449e-03,9.993377947901495029e-01
-3.521673476574769396e-02,-1.406598756438875129e-02,-5.544390663334858999e-03,9.992653247853892085e-01
-3.730321666197788932e-02,-1.424145843914733332e-02,-5.624985915485211825e-03,9.991866744616071383e-01
-3.938953454050798247e-02,-1.441686669594777898e-02,-5.705556435257622128e-03,9.991036308357191809e-01
-4.138160144612815228e-02,-1.448215845155868646e-02,-5.760145368612671138e-03,9.990218470452332244e-01
-4.337350355936484686e-02,-1.454739253541872251e-02,-5.814711363559072789e-03,9.989360848878990895e-01
-4.522946761861661863e-02,-1.448409207306940345e-02,-5.836078602410445931e-03,9.988545672530617647e-01
-4.708527537788959744e-02,-1.442074155788057241e-02,-5.857425673459503747e-03,9.987695978652876283e-01
-4.892262970633564495e-02,-1.433635761493258845e-02,-5.874221221838902933e-03,9.986824013058355209e-01
-5.075981814416630905e-02,-1.425192505916061600e-02,-5.890996851457205863e-03,9.985918183372899382e-01
-5.266430859474520443e-02,-1.424244536274759700e-02,-5.954665568350127856e-03,9.984929470498503656e-01
-5.456860729441966734e-02,-1.423291380954859985e-02,-6.018312604287982120e-03,9.983904402466170502e-01
-5.640233419237518364e-02,-1.425050603086221689e-02,-6.092588667073734268e-03,9.982878242966048976e-01
-5.823587051187515545e-02,-1.426805010098725589e-02,-6.166844143545904648e-03,9.981818352210924949e-01
-6.006931674412580718e-02,-1.429046229807690201e-02,-6.235573649941809904e-03,9.980724309860764532e-01
-6.190256001894907378e-02,-1.431282621168970294e-02,-6.304282088077662813e-03,9.979596545433523369e-01
-6.375913499424817887e-02,-1.441746480492793470e-02,-6.397100912291785700e-03,9.978406618861053179e-01
-6.561548804985521677e-02,-1.452205321681802885e-02,-6.489897470791907742e-03,9.977181961501777607e-01
-6.739879824549828424e-02,-1.469905072566103643e-02,-6.603146545508927802e-03,9.975959795220329385e-01
-6.918189011718277326e-02,-1.487600062008026872e-02,-6.716374230748236272e-03,9.974705313955680719e-01
-7.080884325779832067e-02,-1.521926806455006081e-02,-6.873569698805066276e-03,9.973501068509825762e-01
-7.243559784889169739e-02,-1.556249283386428039e-02,-7.030745893224360499e-03,9.972268857152083443e-01
-7.403387597976482382e-02,-1.605757192172129963e-02,-7.223760318809949003e-03,9.971002742343654246e-01
-7.563194290077594750e-02,-1.655260519923129961e-02,-7.416754135864646151e-03,9.969708181447735074e-01
-7.714422284013962294e-02,-1.717084909107731774e-02,-7.638393890006887899e-03,9.968428089536796044e-01
-7.865629181114054680e-02,-1.778904602534457993e-02,-7.860012755229730738e-03,9.967120736699818240e-01
-8.010056199951329226e-02,-1.855045851793357334e-02,-8.132118685680802747e-03,9.965809797010061200e-01
-8.154461135923724013e-02,-1.931181986890025473e-02,-8.404202196753828014e-03,9.964471382652753118e-01
-8.292614841775522438e-02,-2.019728299767464819e-02,-8.714798210753806063e-03,9.963128905922338241e-01
-8.430745268748883470e-02,-2.108268942900141246e-02,-9.025369760729826454e-03,9.961758460876611876e-01
-8.563915946314373806e-02,-2.210066710335786833e-02,-9.381419563269217943e-03,9.960368887983059860e-01
-8.697061310639365994e-02,-2.311857945251670834e-02,-9.737441636189227492e-03,9.958949874210512032e-01
-8.825768319240961945e-02,-2.426091218060097421e-02,-1.013406673325298150e-02,9.957506164643421531e-01
-8.954447618214027294e-02,-2.540316873844826462e-02,-1.053066001311799178e-02,9.956031192212074776e-01
-9.078936095410250484e-02,-2.667300246824715754e-02,-1.097245238328945285e-02,9.954523836756677957e-01
-9.203393884735697195e-02,-2.794274604016363378e-02,-1.141420766528259551e-02,9.952982833841057531e-01
-9.323924026217397798e-02,-2.933449701980858290e-02,-1.189607222887624320e-02,9.951403995544801928e-01
-9.444420164811552498e-02,-3.072614102114691256e-02,-1.237789340936154558e-02,9.949788866040035762e-01
-9.560969067121337372e-02,-3.224038973904030242e-02,-1.290459375259735142e-02,9.948129551726331288e-01
-9.677480143748445895e-02,-3.375451090555860872e-02,-1.343124304190076480e-02,9.946430880022284482e-01
-9.790035082086907814e-02,-3.538331581403773851e-02,-1.400049554311842172e-02,9.944684652595573437e-01
-9.902548173817601884e-02,-3.701196947977605789e-02,-1.456968820050093087e-02,9.942895917525678140e-01
