x,y,z,w
-5.027458047647796052e-02,-1.908889338486160700e-02,-1.062899235078039045e-01,9.928799186547994093e-01
-5.235197211563679537e-02,-1.981072696030379207e-02,-1.072566948811491810e-01,9.926544250221623900e-01
-5.453369294983875792e-02,-2.056870989442084394e-02,-1.081783392598732185e-01,9.924215089474368590e-01
-5.671507359620088506e-02,-2.132656451841237824e-02,-1.090993088088991342e-01,9.921824020260791022e-01
-5.899773213757088935e-02,-2.211512720305939747e-02,-1.099726951104574718e-01,9.919355801066712663e-01
-6.127999798497285600e-02,-2.290354268752192377e-02,-1.108453494243197696e-01,9.916821557789183839e-01
-6.365875962831342438e-02,-2.372526921029777247e-02,-1.116674759944231571e-01,9.914207223618630715e-01
-6.603707069616522596e-02,-2.454682780606981182e-02,-1.124888121842572974e-01,9.911522716878087280e-01
-6.850615976607407620e-02,-2.539669304671902245e-02,-1.132597211506665841e-01,9.908754460684093823e-01
-7.097473575191851070e-02,-2.624636807617356654e-02,-1.140297818465223628e-01,9.905911991834926988e-01
-7.353160241162594313e-02,-2.712405665330034146e-02,-1.147466735298058871e-01,9.902982328123640654e-01
-7.608788760788297301e-02,-2.800153074241034518e-02,-1.154626578345674393e-01,9.899974354922487230e-01
-7.872671831564846678e-02,-2.890203038069495342e-02,-1.161256159210627276e-01,9.896876364742943633e-01
-8.136489481887371200e-02,-2.980228984842625897e-02,-1.167876090250616061e-01,9.893696133342242405e-01
-8.408084963168308001e-02,-3.072814575304998880e-02,-1.173935534837625833e-01,9.890424386163858550e-01
-8.679607228260596830e-02,-3.165373408215252371e-02,-1.179984756991590000e-01,9.887066514834632613e-01
-8.958331155981578975e-02,-3.259994539668221308e-02,-1.185475236343965649e-01,9.883615525152020798e-01
-9.236973701155749839e-02,-3.354586055487027152e-02,-1.190954946168821388e-01,9.880074747116072142e-01
-9.522022513505497276e-02,-3.451009829491142461e-02,-1.195849011977758447e-01,9.876444771507716380e-01
-9.806981568195494159e-02,-3.547401073161955687e-02,-1.200731805327658747e-01,9.872721697340930413e-01
-1.009747170036182917e-01,-3.644927554069928716e-02,-1.205058650059707970e-01,9.868910240435658787e-01
-1.038786366409012590e-01,-3.742418598696882481e-02,-1.209373779113918773e-01,9.865002837185379292e-01
-1.068271292347405810e-01,-3.840563370262567444e-02,-1.213082362089522442e-01,9.861020655019617775e-01
-1.097745585822413605e-01,-3.938669916847663266e-02,-1.216778871302692522e-01,9.856940326491775428e-01
-1.127544811566922184e-01,-4.035943603839312749e-02,-1.219855518207126344e-01,9.852801977350111873e-01
-1.157332658047484086e-01,-4.133176559795644078e-02,-1.222919854241272808e-01,9.848564193016903223e-01
-1.187412516671804974e-01,-4.229082261060160275e-02,-1.225395561446725873e-01,9.844267665272493639e-01
-1.217480247465942550e-01,-4.324944767907593773e-02,-1.227858752876011678e-01,9.839870591504819020e-01
-1.247716020263017894e-01,-4.418089660582088379e-02,-1.229799727359486838e-01,9.835425877961562202e-01
-1.277939010402520115e-01,-4.511189290611604397e-02,-1.231728102735037411e-01,9.830880402001985763e-01
-1.308270167055961553e-01,-4.601153363737118390e-02,-1.233191558195796539e-01,9.826289311231353185e-01
-1.338587925266869483e-01,-4.691070314876297220e-02,-1.234642384119750552e-01,9.821597586068854246e-01
-1.368889375063158664e-01,-4.776839284225171955e-02,-1.235770706172253236e-01,9.816864606641593216e-01
-1.399176924948310474e-01,-4.862559748820647482e-02,-1.236886480020850804e-01,9.812031945276430411e-01
-1.429405460241648107e-01,-4.943590250697323107e-02,-1.237845599567352489e-01,9.807147773751300202e-01
-1.459619641462362727e-01,-5.024571109099523758e-02,-1.238792288683072118e-01,9.802165118964919488e-01
-1.489687594018279104e-01,-5.100549715366465425e-02,-1.239665590699260134e-01,9.797137542235229146e-01
-1.519740830718519786e-01,-5.176477935932551067e-02,-1.240526646698234536e-01,9.792013184635046663e-01
-1.549531058935844918e-01,-5.247251999395624589e-02,-1.241473221130782734e-01,9.786846335932563035e-01
-1.579306332013655778e-01,-5.317975419546152466e-02,-1.242407813612328160e-01,9.781585030490077548e-01
-1.608725303354507641e-01,-5.383085473363469903e-02,-1.243566828657519663e-01,9.776286020205944283e-01
-1.638129196243531260e-01,-5.448145071957121582e-02,-1.244714187851658216e-01,9.770895377585634423e-01
-1.667058302386418833e-01,-5.507521921332339532e-02,-1.246270754908319761e-01,9.765469668416625337e-01
-1.695972338147117564e-01,-5.566848982130788437e-02,-1.247816055546428354e-01,9.759955678375888954e-01
-1.724315505309168550e-01,-5.620502301531064837e-02,-1.250007789224637511e-01,9.754399833091367267e-01
-1.752643708981536375e-01,-5.674106846604402843e-02,-1.252188675422440389e-01,9.748759339805469493e-01
-1.780246048153545091e-01,-5.722022260690440981e-02,-1.255330997067165000e-01,9.743072036494324628e-01
-1.807833663487269371e-01,-5.769890349784231875e-02,-1.258462936275926425e-01,9.737304151391013018e-01
-1.834611053272569847e-01,-5.813222021382374871e-02,-1.263116044393024495e-01,9.731433842908669973e-01
-1.861373914463290424e-01,-5.856507657094165570e-02,-1.267759149680976194e-01,9.725486469559234681e-01
-1.887225719415817071e-01,-5.895472484343947106e-02,-1.274210188800687926e-01,9.719423929461837863e-01
-1.913063146186382291e-01,-5.934392395834443834e-02,-1.280651520111861785e-01,9.713287340116180113e-01
-1.937903721241652222e-01,-5.969100392924368143e-02,-1.288979202044439609e-01,9.707046934515487502e-01
-1.962730006319525211e-01,-6.003764374251919361e-02,-1.297297379127286820e-01,9.700734949775045024e-01
-1.986503128755517378e-01,-6.033795976765602559e-02,-1.307460009465679918e-01,9.694343025919817114e-01
-2.010261981820347932e-01,-6.063784237553285217e-02,-1.317613248108744639e-01,9.687881466040965117e-01
-2.032880371909911998e-01,-6.090029203296847687e-02,-1.329805145666630717e-01,9.681328995085947131e-01
-2.055484327394277722e-01,-6.116230926374283811e-02,-1.341987600852730389e-01,9.674707781196630885e-01
-2.076898423267956595e-01,-6.138825050502489528e-02,-1.356446023720543348e-01,9.667972662050353660e-01
-2.098297605426941437e-01,-6.161375093184857238e-02,-1.370894706271368058e-01,9.661168119486768235e-01
-2.118425465678132613e-01,-6.181450015691998534e-02,-1.388045253481768604e-01,9.654196014049440944e-01
-2.138537397227527337e-01,-6.201478459115704334e-02,-1.405185363809077492e-01,9.647151317524116365e-01
-2.157319953548399172e-01,-6.219803967263035083e-02,-1.425407932627261454e-01,9.639881909531539117e-01
-2.176084864302695598e-01,-6.238078601192654365e-02,-1.445618842474540033e-01,9.632533653161493570e-01
-2.193488379735893390e-01,-6.253249894265340558e-02,-1.468150551048155172e-01,9.625077212418573502e-01
-2.210872845590464431e-01,-6.268366880337071512e-02,-1.490669509315173669e-01,9.617537181688653458e-01
-2.226645833268205699e-01,-6.281145713220634419e-02,-1.515724692499567094e-01,9.609895893038036263e-01
-2.242397966812935683e-01,-6.293865718675871468e-02,-1.540765679836613444e-01,9.602164600829521390e-01
-2.256341225212860346e-01,-6.306475707141105669e-02,-1.569001251219493132e-01,9.594240094485282366e-01
-2.270260655524321547e-01,-6.319019096078147546e-02,-1.597220253166777293e-01,9.586214268181476594e-01
-2.282241214726246914e-01,-6.332624454396283686e-02,-1.629210569738018810e-01,9.577892598711608141e-01
-2.294020292475295320e-01,-6.336154261102637519e-02,-1.661417170448377667e-01,9.569519077531847273e-01
-2.303926472849482099e-01,-6.351968499697678572e-02,-1.697518572277979809e-01,9.560694455229868938e-01
-2.313622225782927255e-01,-6.357960135337091534e-02,-1.733827683337632319e-01,9.551793401766496272e-01
-2.321416639885185429e-01,-6.377275516987311599e-02,-1.774366825685480820e-01,9.542324178195548123e-01
-2.328984743698452875e-01,-6.386767897502494684e-02,-1.815108824469790494e-01,9.532748920284540572e-01
-2.334598631162253246e-01,-6.411414372500351400e-02,-1.860735201405205874e-01,9.522407857210687387e-01
-2.339971606308959839e-01,-6.426480065464922065e-02,-1.906550290691433058e-01,9.511918965719488028e-01
-2.343351101405077297e-01,-6.457929607159522412e-02,-1.957648836561035055e-01,9.500487782221740396e-01
-2.344956081178172502e-01,-6.482984412388728690e-02,-2.008821204700558805e-01,9.489232185797654706e-01
-2.346114987793532503e-01,-6.521154138560740499e-02,-2.065331438472002568e-01,9.476544517930628464e-01
-2.345521705510995036e-01,-6.552735768534584393e-02,-2.121908732748463144e-01,9.463965754288223842e-01
-2.344461006421077465e-01,-6.597462161417477766e-02,-2.183816710330203081e-01,9.449824447858290455e-01
-2.341691890210203797e-01,-6.635350862015097773e-02,-2.245782744004024278e-01,9.435711957633986513e-01
-2.338417210969199189e-01,-6.686869954198904065e-02,-2.313263460639214952e-01,9.419844733925859526e-01
-2.333091689139803748e-01,-6.745304033065925575e-02,-2.386354342879112300e-01,9.402499925833752714e-01
